Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,4033,115,502,3416,255,2.85,12.45,22.91,38928341,104.0,2469,1564,63.35
Albania,856,31,627,198,6,3.62,73.25,4.94,2877800,297.0,789,67,8.49
Algeria,5558,494,2546,2518,189,8.89,45.81,19.4,43851043,127.0,4295,1263,29.41
Andorra,754,48,545,161,2,6.37,72.28,8.81,77265,9759.0,747,7,0.94
Angola,43,2,13,28,0,4.65,30.23,15.38,32866268,1.0,35,8,22.86
Antigua and Barbuda,25,3,19,3,0,12.0,76.0,15.79,97928,255.0,25,0,0.0
Argentina,5776,300,1728,3748,165,5.19,29.92,17.36,45195777,128.0,4681,1095,23.39
Armenia,3175,44,1267,1864,146,1.39,39.91,3.47,2963234,1071.0,2273,902,39.68
Australia,6939,97,6141,701,21,1.4,88.5,1.58,50919400,136.0,6799,140,2.06
Austria,15833,615,13928,1290,59,3.88,87.97,4.42,9006400,1758.0,15558,275,1.77
Azerbaijan,2422,31,1620,771,143,1.28,66.89,1.91,10139175,239.0,1894,528,27.88
Bahamas,92,11,37,44,0,11.96,40.22,29.73,393248,234.0,83,9,10.84
Bahrain,4774,8,2055,2711,330,0.17,43.05,0.39,1701583,2806.0,3284,1490,45.37
Bangladesh,13770,214,2414,11142,636,1.55,17.53,8.86,164689383,84.0,8790,4980,56.66
Barbados,84,7,57,20,1,8.33,67.86,12.28,287371,292.0,81,3,3.7
Belarus,22052,126,6050,15876,951,0.57,27.44,2.08,9449321,2334.0,15828,6224,39.32
Belgium,52596,8581,13411,30604,585,16.31,25.5,63.98,11589616,4538.0,49517,3079,6.22
Belize,18,2,16,0,0,11.11,88.89,12.5,397621,45.0,18,0,0.0
Benin,284,2,62,220,42,0.7,21.83,3.23,12123198,23.0,90,194,215.56
Bhutan,7,0,5,2,0,0.0,71.43,0.0,771612,9.0,7,0,0.0
Bolivia,2437,114,258,2065,171,4.68,10.59,44.19,11673029,209.0,1470,967,65.78
Bosnia and Herzegovina,2090,102,1059,929,20,4.88,50.67,9.63,3280815,637.0,1839,251,13.65
Botswana,23,1,12,10,0,4.35,52.17,8.33,2351625,10.0,23,0,0.0
Brazil,156061,10656,61685,83720,9167,6.83,39.53,17.27,212559409,734.0,97100,58961,60.72
Brunei,141,1,132,8,0,0.71,93.62,0.76,437483,322.0,138,3,2.17
Bulgaria,1921,90,422,1409,49,4.69,21.97,21.33,6948445,276.0,1594,327,20.51
Burkina Faso,748,48,569,131,4,6.42,76.07,8.44,20903278,36.0,652,96,14.72
Burma,178,6,68,104,1,3.37,38.2,8.82,54409800,3.0,151,27,17.88
Burundi,15,1,7,7,0,6.67,46.67,14.29,11890781,1.0,15,0,0.0
Cabo Verde,236,2,56,178,6,0.85,23.73,3.57,555988,424.0,152,84,55.26
Cambodia,122,0,120,2,0,0.0,98.36,0.0,16718971,7.0,122,0,0.0
Cameroon,2274,108,1232,934,7,4.75,54.18,8.77,26545864,86.0,2077,197,9.48
Canada,68918,4823,31262,32833,1244,7.0,45.36,15.43,75711404,910.0,57926,10992,18.98
Central African Republic,143,0,10,133,0,0.0,6.99,0.0,4829764,30.0,72,71,98.61
Chad,322,31,53,238,62,9.63,16.46,58.49,16425859,20.0,117,205,175.21
Chile,27219,304,12667,14248,1247,1.12,46.54,2.4,19116209,1424.0,18435,8784,47.65
China,83990,4637,79127,226,14,5.52,94.21,5.86,-2147483648,-39.0,83959,31,0.04
Colombia,10495,445,2569,7481,444,4.24,24.48,17.32,50882884,206.0,7285,3210,44.06
Comoros,11,1,0,10,3,9.09,0.0,inf,869595,13.0,3,8,266.67
Congo (Brazzaville),274,10,33,231,0,3.65,12.04,30.3,89561403,3.0,229,45,19.65
Congo (Kinshasa),937,39,130,768,0,4.16,13.87,30.0,5518087,170.0,674,263,39.02
Costa Rica,780,6,480,294,7,0.77,61.54,1.25,5094114,153.0,733,47,6.41
Cote d'Ivoire,1667,21,769,877,65,1.26,46.13,2.73,26378274,63.0,1362,305,22.39
Croatia,2176,87,1726,363,15,4.0,79.32,5.04,4105268,530.0,2088,88,4.21
Cuba,1754,74,1140,540,13,4.22,64.99,6.49,11326616,155.0,1611,143,8.88
Cyprus,892,15,401,476,1,1.68,44.96,3.74,1207361,739.0,864,28,3.24
Czechia,8095,276,4447,3372,18,3.41,54.94,6.21,10708981,756.0,7755,340,4.38
Denmark,10517,526,8291,1700,101,5.0,78.83,6.34,5897840,1783.0,9605,912,9.5
Diamond Princess,712,13,645,54,0,1.83,90.59,2.02,0,inf,712,0,0.0
Djibouti,1189,3,834,352,54,0.25,70.14,0.36,988002,1203.0,1112,77,6.92
Dominica,16,0,14,2,0,0.0,87.5,0.0,71991,222.0,16,0,0.0
Dominican Republic,9882,385,2584,6913,506,3.9,26.15,14.9,10847904,911.0,7578,2304,30.4
Ecuador,29071,1717,3433,23921,253,5.91,11.81,50.01,17643060,1648.0,27464,1607,5.85
Egypt,8964,514,2002,6448,488,5.73,22.33,25.67,102334403,88.0,6193,2771,44.74
El Salvador,784,17,276,491,42,2.17,35.2,6.16,6486201,121.0,446,338,75.78
Equatorial Guinea,439,4,13,422,0,0.91,2.96,30.77,1402985,313.0,315,124,39.37
Eritrea,39,0,37,2,0,0.0,94.87,0.0,3546427,11.0,39,0,0.0
Estonia,1733,60,747,926,8,3.46,43.1,8.03,1326539,1306.0,1699,34,2.0
Eswatini,163,2,14,147,4,1.23,8.59,14.29,1160164,140.0,108,55,50.93
Ethiopia,210,5,97,108,16,2.38,46.19,5.15,114963583,2.0,133,77,57.89
Fiji,18,0,14,4,0,0.0,77.78,0.0,896444,20.0,18,0,0.0
Finland,5880,265,4000,1615,142,4.51,68.03,6.62,5540718,1061.0,5176,704,13.6
France,176782,26313,56148,94321,580,14.88,31.76,46.86,68136441,2595.0,168518,8264,4.9
Gabon,661,8,110,543,41,1.21,16.64,7.27,2225728,297.0,335,326,97.31
Gambia,20,1,9,10,0,5.0,45.0,11.11,2416664,8.0,17,3,17.65
